id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,year_issued,default_status
,,9175,9175,1074.999663903533, 36 months,14.67,E,E5,"Management Consulting, Inc",< 1 year,MORTGAGE,36000.0,Not Verified,Oct-2007,,I am looking to purchase an investment property.  These funds would be used for down payment and home improvement cost. ,house,Seeking Capital for Investment Property,207xx,MD,0.33,0.0,Oct-2006,8.0,0.0,0.0,7.0,0.0,136,1.1,7.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,8000,8000,1525.0, 36 months,14.7,E,E5,Westlake Reed Leskosky,< 1 year,RENT,52800.0,Not Verified,Dec-2007,,Recently I've been working on lowering the interest rate on my debt.  I have moved some to a couple credit cards with much lower rate that I'm comfortable with and have been paying those down steadily.  I have one credit card and a line of credit whose rates are higher than I would like.  This money will consolidate one credit cards and one personal loan whose interest rates are in the 20-24% range.,debt_consolidation,Consolidating Debt at a Lower Rate,200xx,DC,18.52,0.0,Oct-1997,2.0,33.0,0.0,13.0,0.0,20383,67.9,27.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,19650,19650,5275.0, 36 months,17.54,G,G4,university of maryland,9 years,MORTGAGE,45000.0,Not Verified,Nov-2007,,"to payoff credit cards and get my credit profile back on line to save money to help my children purchase there oun to house someday. We as my wife and myself never been late on any bills, our credit scores are not as high as we would like, but do to our debt ratio the credit scores are low.",debt_consolidation,need to payoff credit cards,217xx,MD,25.63,0.0,Jun-2000,19.0,0.0,0.0,17.0,0.0,35460,86.7,61.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,10000,10000,3687.83, 36 months,8.07,A,A4,Cambium Learning,3 years,MORTGAGE,85000.0,Not Verified,Nov-2007,,We can no longer wait to replace the roof. Too many leaks and winter is coming soon.  A necessary evil.,home_improvement,New Roof,024xx,MA,3.11,0.0,Feb-1993,0.0,0.0,0.0,6.0,0.0,37152,3.7,12.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,5000,5000,1276.863280352473, 36 months,12.8,D,D4,Tax Wizards,10+ years,MORTGAGE,48000.0,Not Verified,Dec-2007,,Buying new furniture.,other,John ,080xx,NJ,27.6,1.0,Aug-1992,6.0,16.0,0.0,14.0,0.0,16513,30.9,36.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,3000,3000,1300.0, 36 months,13.75,E,E2,ranstad inhouse services,< 1 year,RENT,12000.0,Not Verified,Aug-2007,,I have a credit card debt id like to clear. i owe the cable and internet company. I would like to secure my rent for the month and have enough money to stock my refrigerator so i can last until i get my first few checks from my new job.,debt_consolidation,Clearing debt,321xx,FL,19.3,1.0,Jan-1992,4.0,9.0,0.0,12.0,0.0,2545,14.4,14.0,f,,,1,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,5350,5350,625.0, 36 months,13.12,D,D5,Clinton Shop Rite of Hunterdon County,1 year,OWN,4000.0,Not Verified,Jul-2007,,,car,I need to pay off my parents for my car.,088xx,NJ,15.0,0.0,Dec-2006,1.0,0.0,0.0,1.0,0.0,0,,1.0,f,,,1,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,0
,,4000,4000,1850.0, 36 months,11.22,C,C4,Jefferosn Parish,6 years,MORTGAGE,33000.0,Not Verified,Nov-2007,,I just need a loan to pay off a couple of credit cards and a loan to a family member. ,debt_consolidation,Debt Pay-Off,700xx,LA,15.27,0.0,May-2000,4.0,24.0,0.0,7.0,0.0,3323,32.6,18.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,7000,7000,858.53, 36 months,12.17,D,D2,Ikon Office Solutions,10+ years,MORTGAGE,43000.0,Not Verified,Nov-2007,,restructure debt,debt_consolidation,consolidate debt,630xx,MO,11.58,0.0,Oct-1990,6.0,33.0,0.0,8.0,0.0,2778,99.2,33.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,10500,4000,1150.0, 36 months,16.91,G,G2,"VUTEC, CORP",4 years,RENT,68000.0,Not Verified,Jul-2007,,i need refi and consolidate my debts,credit_card,refi,333xx,FL,19.62,1.0,Dec-2001,3.0,6.0,0.0,7.0,0.0,1943,25.6,11.0,f,,,1,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,0
,,20000,15000,1175.006207570089, 36 months,12.8,D,D4,DOUBLETREE HOTEL,10+ years,OWN,60000.0,Not Verified,Dec-2007,,to purchase inventory for my health buisness. I already have inventory pre sold. I sell therapeutic supplements. My orders have grown so much I dont have enough capital to fill them. It is however a nice problem to have.,small_business,Personal Line of Credit,145xx,NY,22.44,2.0,Aug-1994,5.0,13.0,0.0,3.0,0.0,23,1.3,15.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,8550,8550,1174.995273228274, 36 months,17.22,G,G3,brokers int'l group.llc,1 year,RENT,60000.0,Not Verified,Oct-2007,,"this loan is to complete the purchase of a small restaurant in my area, where I will sell all trypes of intrernational foods, especially tech mex and latin american specialities",small_business,business investment,331xx,FL,8.84,0.0,Sep-2005,4.0,0.0,0.0,6.0,0.0,5059,79.0,6.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,8575,8575,1423.82, 36 months,14.38,E,E4,kaleida health,2 years,MORTGAGE,55000.0,Not Verified,Dec-2007,,"Down payment on 3 unit,brings in 1200 per month,bid price 39,000.It should aprise for 60,000.Already have 2a 2 unit brings in 900 per month worth 50,000",house,Farmer 129,142xx,NY,12.87,0.0,Jan-1999,13.0,29.0,0.0,17.0,0.0,4776,27.9,19.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,7200,7200,1849.993412384937, 36 months,14.38,E,E4,Caesars Indiana,7 years,MORTGAGE,53000.0,Not Verified,Dec-2007,,"I have about $5000 of my own money. I need more to buy an engagement ring for the woman of my dreams. She doesn't know that this is going to happen, and regardless of where or how I get the money it will. She is the most amazing woman I have ever known and I want to ask her to marry me. She deserves nothing but the best and I am looking at buying a solitare in the range of 2.0 to 4.0, depending on how much money I can come up with. Sure it shouldn't matter how big or how nice the diamond is, but again, I want to show her just how much she means by getting something nice and special.   Thank you.",major_purchase,Changing my life,471xx,IN,15.65,0.0,Apr-2002,20.0,0.0,0.0,10.0,0.0,11796,74.7,17.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,0
,,22350,22350,486.128661406377, 36 months,14.07,E,E3,Aufrichtig & Aufrichtig,1 year,OWN,135000.0,Not Verified,Dec-2007,,money for home improvement,home_improvement,home,100xx,NY,3.66,3.0,Feb-1992,2.0,4.0,0.0,8.0,0.0,10753,52.3,15.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,1
,,9000,9000,749.998580969832, 36 months,12.49,D,D3,AXA-Equitable,3 years,RENT,60000.0,Not Verified,Dec-2007,,"The purpose of this loan would be to make my life somewhat easier. I have three seperate credit cards with high interest rates that I would like to consolidate to one monthly payment, with lower interest.",debt_consolidation,Consolidate Debt,070xx,NJ,4.64,2.0,Nov-2001,0.0,3.0,0.0,10.0,0.0,8355,34.4,12.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,1
,,2100,2100,1099.995903836064, 36 months,12.49,D,D3,Aramark and Domino's,< 1 year,RENT,12500.0,Not Verified,Oct-2007,,I need this loan for a few different reasons:  I need to fix the transmission on my car and the mechanic quoted me $700  I want to pay off the remainder of my credit card debt which stands at $450  I want to have money to apply to grad schools.  I recently graduated with my B.A. and I want to pursue my M.F.A.  Each grad school application is $150 and the GRE (Which I need to take) costs $100,debt_consolidation,Consolidation Loan,287xx,NC,14.4,0.0,Sep-2003,1.0,0.0,0.0,3.0,0.0,458,91.6,3.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,1
,,10000,10000,1825.004737733139, 36 months,9.01,B,B2,Foisi Broadcasting Network,< 1 year,MORTGAGE,275000.0,Not Verified,Nov-2007,,Loan to be used for Furniture ,home_improvement,"$10,000 Loan",117xx,NY,2.97,0.0,May-1994,2.0,28.0,0.0,4.0,0.0,481,80.2,17.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2007,1
,,20000,20000,16755.89292825827, 36 months,14.5,E,E2,Anoka County and State of Minnesota,10+ years,MORTGAGE,83000.0,Verified,Apr-2008,,"Repayment of credit card balance.  Interest rates are excessive.  Although I have never missed a payment.  Would like to use the extra savings to pay down balance faster and close the credit cards. I am trying to implement a 3 year plan to be debt free.  I unfortunately have used my credit unwisely.  My income supports the payments, however it seems I am getting no-where. ",debt_consolidation,lower monthly payments/interest,550xx,MN,25.4,0.0,Mar-1990,0.0,,,10.0,0.0,26938,75.9,17.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2008,0
,,5500,5500,715.297509814872, 36 months,12.29,C,C5,Trader Joes,5 years,RENT,34000.0,Not Verified,Jul-2008,,"I'm requesting the above amount in order to accomplish more of my financial goals.  My current APR for my Platinum card is absolutely killing me at 23%.  I've accomplished a great amount of financial goals this year and now this is another I need to check off.  I'm a responsible borrower, and I've already used LendingClub as a lender and completely repaid the loan in a timely manner, it is time to use this great service once again.  Thanks Again LC!",credit_card,Good bye Plantinum card!!!,914xx,CA,20.56,0.0,Aug-2004,1.0,,,5.0,0.0,4029,24.0,6.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2008,0
,,19000,19000,5177.99, 36 months,12.29,C,C5,PricewaterhouseCoopers,2 years,RENT,105000.0,Not Verified,Mar-2008,,"I would like to borrow the sum of $19,000, and utilize these funds for the exclusive purpose of consolidating my existing credit card debt, and pay it off within 36 months.  The reason for the accumulation of credit card debt in 2007 was that I required several thousand dollars worth of dental work, of which merely $2,000 was covered by dental insurance.  I would sincerely appreciate a loan in the amount of $19,000 in order to consolidate this debt. ",debt_consolidation,Debt Consolidation,070xx,NJ,10.01,3.0,Oct-1993,1.0,12.0,0.0,19.0,0.0,19368,38.6,35.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2008,0
,,2050,2050,1170.12, 36 months,14.5,E,E2,,< 1 year,OWN,22500.0,Not Verified,Feb-2008,,"All my Credit Cards: Whasington Mutal, Home Depot, and HSBC Credit Company. Also 2 Personal Loans.",debt_consolidation,Pay Off Credit Cards and Personal Loans,935xx,CA,27.73,0.0,Mar-2000,1.0,0.0,0.0,3.0,0.0,1597,88.7,5.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2008,0
,,4475,4475,930.416876055372, 36 months,9.45,B,B1,nickerson realty,10+ years,RENT,63996.0,Not Verified,Jun-2008,, i would like to update my electronics equipment.,home_improvement,electronics,191xx,PA,9.17,0.0,Jul-1992,8.0,70.0,,7.0,0.0,4764,58.1,14.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2008,0
,,5000,4100,677.872253825206, 36 months,14.12,D,D5,nz tradeing/wsm,3 years,MORTGAGE,72000.0,Verified,Aug-2008,,"i have 5000 balance on my car,like to payoff,so i can get only a liability insurance,that will save me money to payoff this amount",other,payy off the balance,770xx,TX,1.57,2.0,Jan-2004,3.0,12.0,,10.0,0.0,3842,27.4,19.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2008,0
,,8500,8500,4159.231882566558, 36 months,13.55,D,D4,Diesel  and  Equipment Specialists,6 years,RENT,28700.0,Not Verified,Mar-2008,,I am applying for a loan to help consolidate credit card payments and secure a better interest rate in order to help pay off the amount owed faster. ,debt_consolidation,Debt Consolidation Loan Request,199xx,DE,17.56,0.0,Dec-2002,1.0,0.0,0.0,7.0,0.0,17488,90.6,10.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2008,0
,,16000,16000,6674.382700796785, 36 months,13.04,C,C5,progressive insurance,< 1 year,MORTGAGE,74000.0,Not Verified,Nov-2008,,"I am an senior programmer anaylst seeking to consolidate my entire credit card debt into one single payment. I am honest, hard working individual and willing to pay the loan back before the 36 month period.   If any one is willing please give a call 216-854-1068 to further discuss my situation. Thanks",debt_consolidation,Need load to consolidate credit card deb,442xx,OH,6.11,0.0,Mar-2002,5.0,,,8.0,0.0,16917,71.1,14.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2008,0
,,3250,3250,3025.0, 36 months,17.66,G,G2,grand ledge public schools,10+ years,MORTGAGE,44000.0,Not Verified,Mar-2008,,"Looking for a loan, which I can pay off over 6 months to a year.  I have some unexpected medical expensives",medical,personal loan,488xx,MI,26.84,1.0,Sep-1963,4.0,6.0,,7.0,0.0,31416,97.6,31.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2008,0
,,18500,18500,6650.0, 36 months,15.45,E,E5,USPS,10+ years,MORTGAGE,70346.0,Not Verified,Feb-2008,,We have added another wage earner in the family and  are working on paying down Credit Card debt incurred during a tight period of time.  Two of our Cards went up to 20% and we are working to get the interest rate down and pay them down.  We are also in the process of selling one vehicle which will free up an additional $550 a month to put on credit.  We are highly committed to getting out of debt.  I have been employed by the United States Postal Service for 25 years.,credit_card,Credit Card Consolidation,750xx,TX,28.78,0.0,Jun-1987,1.0,0.0,0.0,17.0,0.0,69744,76.1,31.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2008,0
,,13000,13000,7700.0, 36 months,15.13,E,E4,General Motors,7 years,RENT,78000.0,Not Verified,Feb-2008,,I am attempting to consolidate all my credit cards and pay them off all at once.  ,debt_consolidation,Credit Card Consolidation,480xx,MI,29.28,0.0,Dec-1998,3.0,0.0,0.0,6.0,0.0,61057,80.7,17.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2008,0
,,750,750,725.0, 36 months,12.29,C,C5,Whole Foods Market,< 1 year,RENT,19000.0,Not Verified,Feb-2008,,"I just need a little help paying down debt to improve my credit score, and get my finances in better control. I am also interested in the social finance model and would like to start investing in sites like Lending Club after I try out a small loan.",credit_card,Paying down credit card debt,802xx,CO,24.0,0.0,Sep-2000,0.0,0.0,0.0,8.0,0.0,12220,84.9,8.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2008,0
,,7000,7000,0.0, 36 months,8.0,A,A3,E² Inc.,2 years,RENT,44500.0,Not Verified,May-2008,,"This loan will cover the difference between the down payment and sale amount for a 1998 Chrysler Town and Country.  With baby #1 on the way, its time for a mini-van!",car,Town and Country Minivan,229xx,VA,7.77,0.0,Oct-1997,1.0,27.0,,10.0,0.0,6301,22.7,21.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2008,0
,,6400,3575,2204.3, 36 months,14.5,E,E2,self employed,6 years,MORTGAGE,90000.0,Not Verified,Apr-2008,,"Hi,     I am in the finanical services industry, and as most of you know the past 12 months have not been the best for many people who have invested, only to see their investments returns deliver below their expectations.     With that being said, I have had to revaluate how I conduct my business in terms of what a proper investment should be in these uncertain times.     The value of an investment should consider, what would be termed the 3 ""P""s.      ""Protect"": the investment should be protected from any and all loses. Never a loss of a penny of capital. ""It is easier to make a dollar than to make up a loss."" Anon.      ""Preserved"": the investment should be long term in nature, and by understanding this issue, we add real value to our future.      ""Prosper"": the investment should be able to achieve superior returns.       After repositioning myself, with a new way of thinking for the benifit of my clients, I found an unique class asset, that combined the safety of T-bills, and the return of hedge funds.         Take a look at the web presentation:         nomarketrisk.com        Due to the start up cost, and the 90 day delay in being paid commissions, I am requesting a short term 36 month loan of $6,400.               This will allow me to pay my most basic expenses for the next 180 days, while I market this investment to new qualified clients.         Thank you for your consideration.",debt_consolidation,Working Capital,770xx,TX,9.37,0.0,Jun-2000,1.0,,,11.0,0.0,20827,74.4,13.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2008,0
,,8000,8000,4085.08, 36 months,13.55,D,D4,ASU University,< 1 year,RENT,52000.0,Not Verified,Feb-2008,,I need a loan for $8000 so i can refinance two credit cards that have a high interest rate on them.,credit_card,Refinancing credit card,853xx,AZ,27.05,0.0,Sep-2000,2.0,31.0,0.0,15.0,0.0,11023,59.9,29.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2008,0
,,6000,6000,5200.0, 36 months,10.39,B,B4,"US Bank, N.A.",5 years,RENT,43000.0,Not Verified,Feb-2008,,"I am in the process of purchasing a new home and want to avoid paying PMI if at all possible on my new home loan. I am $5,250 short at this point from meeting the 20% requirement and am hoping to acheive a loan through LendingClub to meet this threshold. I dread having to pay $122 a month for PMI when I am so close to the required percentage. Thank you for taking the time to read this and any help would be much appreciated. ",house,Trying to Avoid Paying PMI on New Home,232xx,VA,17.47,0.0,May-1998,0.0,76.0,0.0,14.0,0.0,12758,40.4,33.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2008,0
,,15000,15000,450.0, 36 months,12.04,C,C5,pace mechanica services,7 years,MORTGAGE,100000.0,Not Verified,Jan-2008,,My wife and I have two credit cards that we would like to pay off. ,debt_consolidation,Credit Card Consolidation,480xx,MI,15.82,2.0,Dec-1982,1.0,2.0,0.0,12.0,0.0,49459,88.8,45.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2008,0
,,10000,10000,5975.0, 36 months,8.0,A,A3,Harlem Consolidated School Distric,10+ years,MORTGAGE,66000.0,Not Verified,Nov-2008,, Consolidated credit cards and major purchases,debt_consolidation,November 2008,610xx,IL,20.25,0.0,May-1986,3.0,,,19.0,0.0,9632,6.8,50.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2008,0
,,6600,6600,5725.0, 36 months,13.24,D,D3,Rural Metro,10+ years,MORTGAGE,32400.0,Not Verified,Apr-2008,,"I applied on Lending Tree,and they came back with a better interest than what I am being charged on all credit cards that I am wanting to cosolidate into 1 single Loan. Attempting to better manage when payment's are due, as some are due at the begining, middle and then the end of the month.   Thank you,",debt_consolidation,Debt Consolidation,853xx,AZ,22.0,0.0,Dec-2001,3.0,48.0,,7.0,0.0,6521,67.7,13.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2008,0
,,5000,4200,934.753071152643, 36 months,11.59,C,C2,,< 1 year,RENT,30000.0,Not Verified,Sep-2008,,"I am starting my own law firm. I cater to people who cannot afford to pay $250 per hour but still deserve excellent representation. I already have six(6) cases/clients for my firm. There are various resources required in the practice of law that I simply cannot afford at this time without a loan. I want to provide the best representation possible but this means the appropriate resources, including but not limited to, fax/copier/printer/scanner; legal billing system; incorporation costs and fees; legal search engine subscriptions; legal malpractice insurance costs; and subscriptions to programs which help to obtain new clients. Ultimately I need a foundation from which to begin and that foundation is money. I am not attempting to be a non-profit. I simply want to serve those in the middle to lower socioeconomic classes (and small independent businesses) that share the same legal problems, if not worse, than those in higher socioeconomic classes. While at the same time I also need to survive. Obtaining this loan would help me get a jump start prior to bringing in a profit. I do hope you can help. ",other,Small Business Loan,606xx,IL,17.08,0.0,May-1996,1.0,30.0,,8.0,0.0,10655,68.7,20.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2008,0
,,15000,15000,3441.69, 36 months,11.34,C,C2,us navy,10+ years,RENT,57720.0,Not Verified,Mar-2008,,got out of hand with credit cards and like to cut them up and not depend on them. looking to by a home need to clean up debt,debt_consolidation,help us,320xx,FL,8.61,0.0,Feb-1994,1.0,0.0,0.0,10.0,0.0,14453,45.5,24.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2008,0
,,2000,2000,1152.53, 36 months,11.41,C,C3,Express,< 1 year,RENT,4500.0,Not Verified,Jan-2008,,I need some extra money to help pay for school expenses like rent and the difference that I pay to the school per semester.,educational,College Purposes,170xx,PA,4.0,0.0,Feb-2007,4.0,0.0,0.0,4.0,0.0,333,37.0,4.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2008,0
,,2400,2400,2325.0, 36 months,12.29,C,C5,Subway,4 years,RENT,9600.0,Not Verified,Feb-2008,,I am a college student requesting this loan to help pay for books and get some much needed work done on my car.,other,Books/Car,062xx,CT,0.0,0.0,Aug-2006,5.0,0.0,0.0,4.0,0.0,0,0.0,4.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2008,0
,,20000,20000,7531.824812967119, 36 months,15.57,E,E3,Stanley Associates,2 years,MORTGAGE,49000.0,Not Verified,Oct-2008,,"Purpose of loan: This loan will be used as capital towards the purchase of an Edible Arrangements franchise.  I have already done all the research on the franchise and it offers an excellent product and terrific franchisee support.  Their growth has been exponential over the last four (4) years.  To date, none of the franchises have ceased operations.  Edible Arrangements has availability to develop a store in Washington, DC or McLean, VA.  I am in line for either of the stores, if I can provide proof of $50,000 capital.  I have $30,000 of my own funds and need another $20,000 so I can move forward.  My financial situation: I am a good candidate for this loan because I am committed to (paying) my obligations.  I have always held steady employment.     I do not have experience in this particular industry, which is why I chose to move forward with a franchise for that added expertise and support.  I have eight years of HR experience, and my daughter, which will manage the day-to-day operations of the Edible Arrangements store, has HR experience and a degree in Business Administration. I will keep my full-time day job. That way I can keep a steady flow of income coming in.  ",small_business,Purchase Franchise,207xx,MD,12.39,1.0,Aug-1995,1.0,15.0,,18.0,0.0,13335,39.8,38.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2008,0
,,7500,7500,0.0, 36 months,8.32,A,A4,civic stop,10+ years,OWN,30004.0,Not Verified,Jul-2008,, Going to build a screened in porch on house.,home_improvement,Home repair,703xx,LA,1.52,0.0,Jul-2001,0.0,,,6.0,0.0,1304,9.7,8.0,f,0.0,,1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2008,0
